index,ID,title,RecordType,hexHashCodes,aRecordType
,MX0000,Template,Object,cefb5cdb392e7f6521d82da09d939102,
1,MX0001,Mother of Orphans,Object,cefb5cdb392e7f6521d82da09d939102,
40,MX6725,1927 Remington Standard Typewriter,Object,ff887d1e66aac9cec2dbce8790a07576,
41,MX6726,green ceramic bowl ,Object,cefb5cdb392e7f6521d82da09d939102,
42,MX6727,oracle machine,Document,2800044c8003e9eec1be25d88682231c,
43,MX6728,oracle machine 2,Document,ff887d1e66aac9cec2dbce8790a07576,
44,MX6729,mining cores - large,Object,e5db0557296c615fa4ab2d2dsb0f0292da,
45,MX-6730-sm,Mold,Object,"2ee3a8bd9d4bb57643c38635f3fbdb50, demodemodemo",
46,MX6731,QVS core sample fragments,Object,2ee3a8bd9d4bb57643c38635f3fbdb50,
47,MX-6732-SM,Coral,Object,"e5db0557296c615fa4ab2d2dsb0f0292da, demodemodemo",
48,MX6733,three stones - grey and green,Object,"e5db0557296c615fa4ab2d2dsb0f0292da, demodemodemo",
49,MX6734,stone carved statue,Object,"4acf43285e01067ea35af33f416fcc69, demodemodemo",
50,MX7359,Obituary of Emily Mildred Hankal,Document,63a5b8ab25ece1f3657cf4af94a2019d,
58,MX7365,navigation and edit test,Object,cefb5cdb392e7f6521d82da09d939102,
59,MX736988,Entry - i am updated,Object,cefb5cdb392e7f6521d82da09d939102,
60,MX1366,77 a new entry thing from JSON,Object,621f1cea8a2e201cbebdbf0358d5f577,
61,MX1564,88 a new entry thing from JSON,Object,621f1cea8a2e201cbebdbf0358d5f577,
62,QA0698,"Ficus Elastica - ""Audrey""",Object,1145cafae869ca2fbe4bf8ac92ecb62b,
63,QA0543,"Aglaonema - ""Red Siam""",Object,1145cafae869ca2fbe4bf8ac92ecb62b,
64,QA0132,"Ficus Elastica - ""Tineke""",Object,d5f9b259a21092a89659aa16a9913737,
65,QA0343,"Ficus Elastica leaf - ""Golden Gem""",Object,ssd5f9b259a21092a89659aa16a9913737,
66,MX7369,oracle machine #3,Object,c888008f7979895076sfsfd0159f80f485fbf,
67,QA3694,"Craterellus cornucopioides - ""Black trumpet""",Object,0e2805a97520b5e034c4114ae249574e,
69,QA0960,driftwood with termite and other unidentified damage,Object,"1145cafae869ca2fbe4bf8ac92ecb62b, demodemodemo",
70,QA0232,driftwood with crimson infection,Object,"0e2805a97520b5e034c4114ae249574e, demodemodemo",
71,LT-C-012,"woodcut illustration - ""Language rising from the earth""",Object,"234ada22c94668dd7ee1c26b42c630ab, demodemodemo",
72,LT-D-246,QVS Minutes 1927,Document,"bad48f5d47b68ca3059ac646d0320808, demodemodemo",
